_id,jobid,position,location,company,remote,status,description,joburl,category,subcategory,tags
215,0af650bd-8ed4-4586-a09e-7c9c0aff4058,"Senior Manager, Product Management","Austin, TX",na,False,True,na,https://jobs.lever.co/nylas/0af650bd-8ed4-4586-a09e-7c9c0aff4058,Management,Product,tags
216,335aa8e4-6f04-4f35-a5f6-d6f6c0b74d7b,"Senior Manager, Product Management",Remote (US or Canada),na,True,True,na,https://jobs.lever.co/nylas/335aa8e4-6f04-4f35-a5f6-d6f6c0b74d7b,Management,Product,tags
217,6e417179-5aec-495c-8b41-880a6af0104d,Commercial Account Executive,"Denver, CO",na,False,True,na,https://jobs.lever.co/nylas/6e417179-5aec-495c-8b41-880a6af0104d,Sales and Marketing,Sales,tags
218,41d8764c-e93f-4c49-a2d0-99c853af7af4,Commercial Account Executive,London,na,False,True,na,https://jobs.lever.co/nylas/41d8764c-e93f-4c49-a2d0-99c853af7af4,Sales and Marketing,Sales,tags
219,0175a46f-a19f-42b5-aa4a-cb05b73ab251,Commercial Account Executive,"New York City, NY",na,False,True,na,https://jobs.lever.co/nylas/0175a46f-a19f-42b5-aa4a-cb05b73ab251,Sales and Marketing,Sales,tags
220,651b6d5b-fc1b-4a71-85b1-0999dc44c65e,Commercial Account Executive,"San Francisco, CA",na,False,True,na,https://jobs.lever.co/nylas/651b6d5b-fc1b-4a71-85b1-0999dc44c65e,Sales and Marketing,Sales,tags
221,e3cde854-1bd3-42e1-a144-98e726f33295,"Account Executive, Growth",London,na,False,True,na,https://jobs.lever.co/nylas/e3cde854-1bd3-42e1-a144-98e726f33295,Sales and Marketing,Sales,tags
222,2631ab58-f985-4110-ac51-c2bf2a72e6ca,Growth Account Executive,"Denver, CO",na,False,True,na,https://jobs.lever.co/nylas/2631ab58-f985-4110-ac51-c2bf2a72e6ca,Sales and Marketing,Sales,tags
223,f5211eae-88ee-4ba0-8bd7-43ee6d51c005,Growth Account Executive,"San Francisco, CA",na,False,True,na,https://jobs.lever.co/nylas/f5211eae-88ee-4ba0-8bd7-43ee6d51c005,Sales and Marketing,Sales,tags
224,cef139c9-1321-41cc-a409-c3323771f9bc,Business Development Representative,"Denver, CO",na,False,True,na,https://jobs.lever.co/nylas/cef139c9-1321-41cc-a409-c3323771f9bc,Sales and Marketing,Sales,tags
225,1826bab4-80cf-430b-86f2-f8bee553094d,Business Development Representative,"Toronto, ON",na,False,True,na,https://jobs.lever.co/nylas/1826bab4-80cf-430b-86f2-f8bee553094d,Sales and Marketing,Sales,tags
226,246140d7-53b2-46ad-9b06-3ba5ec584b59,Business Development Representative,London,na,False,True,na,https://jobs.lever.co/nylas/246140d7-53b2-46ad-9b06-3ba5ec584b59,Sales and Marketing,Sales,tags
227,86255127-862d-4ae4-88f7-ed85b0400f61,Business Development Representative,Amsterdam,na,False,True,na,https://jobs.lever.co/nylas/86255127-862d-4ae4-88f7-ed85b0400f61,Sales and Marketing,Sales,tags
228,8fa4eb8b-2cc3-4d11-a717-bb7a899686e9,Business Development Representative,York,na,False,True,na,https://jobs.lever.co/nylas/8fa4eb8b-2cc3-4d11-a717-bb7a899686e9,Sales and Marketing,Sales,tags
229,3c6d7175-eceb-4867-8826-2fb7e002de5c,Business Development Representative,Nottingham,na,False,True,na,https://jobs.lever.co/nylas/3c6d7175-eceb-4867-8826-2fb7e002de5c,Sales and Marketing,Sales,tags
230,d38b11c3-207e-4195-822b-8fba7cdd66f4,Business Development Representative,Manchester,na,False,True,na,https://jobs.lever.co/nylas/d38b11c3-207e-4195-822b-8fba7cdd66f4,Sales and Marketing,Sales,tags
231,10a0455c-0b9f-4b51-950b-68087c062959,Business Development Representative,Birmingham,na,False,True,na,https://jobs.lever.co/nylas/10a0455c-0b9f-4b51-950b-68087c062959,Sales and Marketing,Sales,tags
232,ab464515-6567-4f06-8185-2f0f93887f9a,Business Development Representative,Liverpool,na,False,True,na,https://jobs.lever.co/nylas/ab464515-6567-4f06-8185-2f0f93887f9a,Sales and Marketing,Sales,tags
233,35b29eed-4333-4911-a6d8-1b9158a4c01a,Business Development Representative,Cambridge,na,False,True,na,https://jobs.lever.co/nylas/35b29eed-4333-4911-a6d8-1b9158a4c01a,Sales and Marketing,Sales,tags
234,015152ca-1c58-480c-92f2-c30202cd9a5b,Business Development Representative,Southampton,na,False,True,na,https://jobs.lever.co/nylas/015152ca-1c58-480c-92f2-c30202cd9a5b,Sales and Marketing,Sales,tags
235,f69111d6-7653-4832-b300-63174675b5ed,Business Development Representative,Teddington,na,False,True,na,https://jobs.lever.co/nylas/f69111d6-7653-4832-b300-63174675b5ed,Sales and Marketing,Sales,tags
236,cf9d315e-f22d-4b04-997a-fd10840d98e6,Business Development Representative,Warwick,na,False,True,na,https://jobs.lever.co/nylas/cf9d315e-f22d-4b04-997a-fd10840d98e6,Sales and Marketing,Sales,tags
237,129d5b23-01c4-4082-908b-1aaa9121a096,Sales Development Representative,"Chicago, IL",na,False,True,na,https://jobs.lever.co/nylas/129d5b23-01c4-4082-908b-1aaa9121a096,Sales and Marketing,Sales,tags
238,6fbac364-0f58-4e27-b995-9fa41d8f713f,Sales Onboarding & Training Manager,"San Francisco, CA",na,False,True,na,https://jobs.lever.co/nylas/6fbac364-0f58-4e27-b995-9fa41d8f713f,Manager,Sales,tags
239,908a0b90-3091-45f5-81a3-0faa30976992,"Sr. Director, Sales Operations","Chicago, IL",na,False,True,na,https://jobs.lever.co/nylas/908a0b90-3091-45f5-81a3-0faa30976992,Director,Operations,tags
240,79729f52-251d-4d7a-90a1-62abc6096fc5,"Sr. Director, Sales Operations","Denver, CO",na,False,True,na,https://jobs.lever.co/nylas/79729f52-251d-4d7a-90a1-62abc6096fc5,Director,Operations,tags
241,f68886d4-1c13-4caa-ae04-4f2bc525887d,"Sr. Director, Sales Operations","Austin, TX",na,False,True,na,https://jobs.lever.co/nylas/f68886d4-1c13-4caa-ae04-4f2bc525887d,Director,Operations,tags
